[0000010546ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000010564ns] mycpu : pc = 1c009004,  reg = 16, val = 00000051
[0000010618ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000010636ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000010670ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000010688ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c009008
[0000010716ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000010734ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000010752ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000010786ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000010818ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000010836ns] mycpu : pc = 1c009004,  reg = 16, val = 00000052
[0000010944ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000010962ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000010996ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000011018ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000011054ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000011072ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000011088ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000011128ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000011160ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000011178ns] mycpu : pc = 1c009004,  reg = 16, val = 00000053
[0000011264ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000011278ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000011314ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000011334ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000011362ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000011376ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000011390ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000011422ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000011460ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000011474ns] mycpu : pc = 1c009004,  reg = 16, val = 00000054
[0000011576ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000011594ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000011628ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000011654ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000011690ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000011706ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000011720ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000011756ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000011796ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000011810ns] mycpu : pc = 1c009004,  reg = 16, val = 00000055
[0000011914ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000011942ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
